	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Selected)	Opportunity (Selected)	KC (ptype_selection)	Opportunity (ptype_selection)	KC (Single-KC)	Opportunity (Single-KC)	Prediction
21947	84	Revised BKT Controller(1)	AD 6_7_plus_1_6	1	JCommTable5.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	hint	0	1	1	JCommTable5.R0C0	5	AD JCommTable5.R0C0	4	Single-KC	84	0.28809243521308947
21948	85	Revised BKT Controller(1)	AD 6_7_plus_1_6	1	JCommTable6.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:04	1/1/1970 0:04	hint	0	1	1	JCommTable6.R1C0	21	AD JCommTable6.R1C0	11	Single-KC	85	0.3426693137688722
21949	86	Revised BKT Controller(1)	AD 6_7_plus_1_6	1	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	hint	0	1	1	JCommTable6.R0C0	24	AD JCommTable6.R0C0	11	Single-KC	86	0.36319987085361793
21950	87	Revised BKT Controller(1)	AD 6_7_plus_1_6	1	done	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	done	14	AD done	3	Single-KC	87	0.4683227911354483
21951	88	Revised BKT Controller(1)	M 3_7_times_2_8	2	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	JCommTable6.R0C0	25	M  JCommTable6.R0C0	7	Single-KC	88	0.6016373410086192
21952	89	Revised BKT Controller(1)	M 3_7_times_2_8	2	JCommTable6.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	JCommTable6.R1C0	22	M  JCommTable6.R1C0	6	Single-KC	89	0.6467936158289291
21953	90	Revised BKT Controller(1)	M 3_7_times_2_8	2	done	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	done	15	M  done	8	Single-KC	90	0.959249558916162
21954	91	Revised BKT Controller(1)	M 1_2_times_2_3	1	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	JCommTable6.R0C0	26	M  JCommTable6.R0C0	8	Single-KC	91	0.648527434408037
21955	92	Revised BKT Controller(1)	M 1_2_times_2_3	1	JCommTable6.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	JCommTable6.R1C0	23	M  JCommTable6.R1C0	7	Single-KC	92	0.6942755479785112
21956	93	Revised BKT Controller(1)	M 1_2_times_2_3	1	done	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	done	16	M  done	9	Single-KC	93	0.9784363315980931
21957	94	Revised BKT Controller(1)	M 3_2_times_1_3	1	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	JCommTable6.R0C0	27	M  JCommTable6.R0C0	9	Single-KC	94	0.692717181262345
21958	95	Revised BKT Controller(1)	M 3_2_times_1_3	1	JCommTable6.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	JCommTable6.R1C0	24	M  JCommTable6.R1C0	8	Single-KC	95	0.7379604355284068
