	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Single-KC)	Opportunity (Single-KC)	KC (Selected)	Opportunity (Selected)	KC (ptype_selection)	Opportunity (ptype_selection)	Prediction
5447	80	BKT Controller_human(1)	AD 6_9_plus_7_1	1	JCommTable5.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	81	JCommTable5.R1C0	10	AD JCommTable5.R1C0	8	0.9758878200979638
5448	81	BKT Controller_human(1)	AD 6_9_plus_7_1	1	JCommTable5.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	Single-KC	82	JCommTable5.R0C0	8	AD JCommTable5.R0C0	8	0.6824217042885995
5449	82	BKT Controller_human(1)	AD 6_9_plus_7_1	1	JCommTable6.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	Single-KC	83	JCommTable6.R0C0	13	AD JCommTable6.R0C0	8	0.580687845564685
5450	83	BKT Controller_human(1)	AD 6_9_plus_7_1	1	JCommTable6.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	Single-KC	84	JCommTable6.R1C0	13	AD JCommTable6.R1C0	8	0.48134048583244765
5451	84	BKT Controller_human(1)	AD 6_9_plus_7_1	1	done	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	Single-KC	85	done	13	AD done	8	0.9890192048166471
5452	85	BKT Controller_human(1)	AD 7_1_plus_1_5	1	JCommTable8.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	Single-KC	86	JCommTable8.R0C0	11	AD JCommTable8.R0C0	9	0.7864716607859426
5453	86	BKT Controller_human(1)	AD 7_1_plus_1_5	1	JCommTable4.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	Single-KC	87	JCommTable4.R1C0	10	AD JCommTable4.R1C0	9	0.9354497373383269
5454	87	BKT Controller_human(1)	AD 7_1_plus_1_5	1	JCommTable4.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	Single-KC	88	JCommTable4.R0C0	10	AD JCommTable4.R0C0	9	0.8408822545345991
5455	88	BKT Controller_human(1)	AD 7_1_plus_1_5	1	JCommTable5.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	Single-KC	89	JCommTable5.R1C0	11	AD JCommTable5.R1C0	9	0.9880720834851067
5456	89	BKT Controller_human(1)	AD 7_1_plus_1_5	1	JCommTable5.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	Single-KC	90	JCommTable5.R0C0	9	AD JCommTable5.R0C0	9	0.7448963902800662
