	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (ptype_selection)	Opportunity (ptype_selection)	KC (Selected)	Opportunity (Selected)	KC (Single-KC)	Opportunity (Single-KC)	Prediction
75	75	Default BKT Controller(1)	AS 9_4_plus_2_4	1	done	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	AS done	4	done	14	Single-KC	76	0.9817074606174726
76	76	Default BKT Controller(1)	AS 4_5_plus_1_5	1	JCommTable6.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	AS JCommTable6.R1C0	5	JCommTable6.R1C0	15	Single-KC	77	0.6535323123207587
77	77	Default BKT Controller(1)	AS 4_5_plus_1_5	1	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	hint	0	1	1	AS JCommTable6.R0C0	5	JCommTable6.R0C0	15	Single-KC	78	0.6821671086105691
78	78	Default BKT Controller(1)	AS 4_5_plus_1_5	1	done	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	AS done	5	done	15	Single-KC	79	0.9936061217009825
79	79	Default BKT Controller(1)	AS 1_2_plus_6_2	1	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	1	1	0	AS JCommTable6.R0C0	6	JCommTable6.R0C0	16	Single-KC	80	0.6971566013009457
80	80	Default BKT Controller(1)	AS 1_2_plus_6_2	1	JCommTable6.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	AS JCommTable6.R1C0	6	JCommTable6.R1C0	16	Single-KC	81	0.6605472535728738
81	81	Default BKT Controller(1)	AS 1_2_plus_6_2	1	done	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	AS done	6	done	16	Single-KC	82	0.9977825990324984
82	82	Default BKT Controller(1)	AS 3_9_plus_9_9	1	JCommTable6.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	AS JCommTable6.R0C0	7	JCommTable6.R0C0	17	Single-KC	83	0.7117378914083041
83	83	Default BKT Controller(1)	AS 3_9_plus_9_9	1	JCommTable6.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	AS JCommTable6.R1C0	7	JCommTable6.R1C0	17	Single-KC	84	0.6674924267443313
84	84	Default BKT Controller(1)	AS 3_9_plus_9_9	1	done	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	AS done	7	done	17	Single-KC	85	0.9992331095620496
85	85	Default BKT Controller(1)	AD 6_9_plus_7_1	1	JCommTable6.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	incorrect	2	1	0	AD JCommTable6.R1C0	7	JCommTable6.R1C0	18	Single-KC	86	0.5121105898794963
86	86	Default BKT Controller(1)	AD 6_9_plus_7_1	1	JCommTable6.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	incorrect	3	1	0	AD JCommTable6.R0C0	7	JCommTable6.R0C0	18	Single-KC	87	0.5807087116009703
87	87	Default BKT Controller(1)	AD 6_9_plus_7_1	1	JCommTable8.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	AD JCommTable8.R0C0	7	JCommTable8.R0C0	11	Single-KC	88	0.8476356238265534
88	88	Default BKT Controller(1)	AD 6_9_plus_7_1	1	JCommTable4.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	AD JCommTable4.R1C0	7	JCommTable4.R1C0	7	Single-KC	89	0.8988488958032419
89	89	Default BKT Controller(1)	AD 6_9_plus_7_1	1	JCommTable5.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	AD JCommTable5.R1C0	7	JCommTable5.R1C0	7	Single-KC	90	0.9519132938361267
90	90	Default BKT Controller(1)	AD 6_9_plus_7_1	1	JCommTable4.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	AD JCommTable4.R0C0	7	JCommTable4.R0C0	7	Single-KC	91	0.7898396415356643
91	91	Default BKT Controller(1)	AD 6_9_plus_7_1	1	JCommTable5.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	AD JCommTable5.R0C0	7	JCommTable5.R0C0	7	Single-KC	92	0.7056520208961575
92	92	Default BKT Controller(1)	AD 6_9_plus_7_1	1	done	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	AD done	7	done	18	Single-KC	93	0.9621114419318795
93	93	Default BKT Controller(1)	AD 8_7_plus_7_8	1	JCommTable8.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	AD JCommTable8.R0C0	8	JCommTable8.R0C0	12	Single-KC	94	0.8501010210190829
